apple_rating,google_rating,normed_apple_rating,normed_google_rating,apple_revenue,google_revenue,z_score_apple_rating,z_score_google_rating,app_num,log_google_reviews,log_apple_reviews,google_reviews,apple_reviews
4.0,4.4,0.8,0.8800000000000001,0.0,0.0,-0.08398744916625872,0.4491437771893432,1,6.0656663409292175,3.3220124385824,1163232.0,2099.0
4.0,4.5,0.8,0.9,0.0,0.0,-0.08398744916625872,0.6465698854928766,1,4.906755123554984,2.7543483357110192,80678.0,568.0
4.0,4.2,0.8,0.8400000000000001,28521.45,137382.48,-0.08398744916625872,0.054291560582274696,1,4.138365863678995,3.455606112581867,13752.0,2855.0
3.5,4.2,0.7,0.8400000000000001,0.0,0.0,-0.8060181649123952,0.054291560582274696,1,4.8782057255345,4.222274149796562,75545.0,16683.0
4.5,4.6,0.9,0.92,0.0,0.0,0.6380432665798778,0.84399599379641,1,5.823813837231414,3.99471298543157,666521.0,9879.0
3.0,4.0,0.6,0.8,0.0,0.0,-1.5280488806585315,-0.34056065602479385,1,4.278204671684168,4.68490816828812,18976.0,48407.0
3.0,3.3,0.6,0.6599999999999999,0.0,0.0,-1.5280488806585315,-1.7225434141495328,1,4.702671744161752,4.897021956060363,50428.0,78890.0
4.0,4.3,0.8,0.86,0.0,0.0,-0.08398744916625872,0.2517176688858081,1,4.93036312773914,3.9203320715395886,85185.0,8324.0
4.0,4.1,0.8,0.82,0.0,0.0,-0.08398744916625872,-0.14313454772126047,1,4.795636744311401,3.7187507347396647,62465.0,5233.0
5.0,4.7,1.0,0.94,0.0,0.0,1.3600739823260142,1.0414221020999452,1,5.259589101142597,3.987889609997745,181798.0,9725.0
3.5,4.4,0.7,0.8800000000000001,0.0,0.0,-0.8060181649123952,0.4491437771893432,1,6.312474403685975,5.159007422849529,2053404.0,144214.0
4.166666666666667,4.333333333333334,0.8333333333333334,0.8666666666666668,148987.19,30299.320000000003,0.1566894560824534,0.31752637165365366,3,6.2052438926942814,4.8057930081146125,1604146.0,63943.0
4.25,4.35,0.8500000000000001,0.8700000000000001,0.0,0.0,0.2770279087068095,0.3504307230375756,2,5.648737765144075,3.904853355110491,1541031.5,11642.0
4.5,4.3,0.9,0.86,0.0,0.0,0.6380432665798778,0.2517176688858081,1,4.706658052072829,4.14789264483285,50893.0,14057.0
4.5,4.3,0.9,0.86,0.0,0.0,0.6380432665798778,0.2517176688858081,1,4.7066068481645065,4.272978109073684,50887.0,18749.0
2.5,3.1,0.5,0.62,0.0,0.0,-2.2500795964046683,-2.1173956307566004,1,4.32166055684867,3.060697840353612,20973.0,1150.0
4.0,4.4,0.8,0.8800000000000001,0.0,0.0,-0.08398744916625872,0.4491437771893432,1,5.555581697920445,4.348343811479369,359403.0,22302.0
3.0,3.4,0.6,0.6799999999999999,0.0,0.0,-1.5280488806585315,-1.5251173058459986,1,4.628358272887206,3.284656282788516,42497.0,1926.0
3.5,4.5,0.7,0.9,0.0,0.0,-0.8060181649123952,0.6465698854928766,1,4.7915573233042,5.038814815755295,61881.0,109349.0
3.25,4.05,0.65,0.81,0.0,0.0,-1.1670335227854636,-0.24184760187302673,2,5.200660726026971,4.25694036839759,236442.0,25572.0
4.5,4.5,0.9,0.9,0.0,0.0,0.6380432665798778,0.6465698854928766,1,5.988233336921812,4.584602573630907,973270.0,38424.0
4.5,4.2,0.9,0.8400000000000001,0.0,0.0,0.6380432665798778,0.054291560582274696,1,6.047817104714744,4.511869997866151,1116393.0,32499.0
3.0,4.4,0.6,0.8800000000000001,0.0,0.0,-1.5280488806585315,0.4491437771893432,1,4.803798407989674,2.465382851448418,63650.0,292.0
3.0,4.1,0.6,0.82,0.0,0.0,-1.5280488806585315,-0.14313454772126047,1,4.467149153489957,1.9493900066449128,29319.0,89.0
4.5,4.35,0.9,0.8700000000000001,85348.515,229396.035,0.6380432665798778,0.35043072303757566,2,4.895210866479549,4.126655837712503,78587.0,17392.5
4.5,3.5,0.9,0.7,0.0,0.0,0.6380432665798778,-1.3276911975424643,1,3.3010299956639813,3.4007106367732307,2000.0,2516.0
4.5,4.4,0.9,0.8800000000000001,0.0,0.0,0.6380432665798778,0.4491437771893432,1,6.1733995741151295,4.596608090284298,1490732.0,39501.0
5.0,4.7,1.0,0.94,0.0,0.0,1.3600739823260142,1.0414221020999452,1,5.4577260069763645,3.749040268703457,286897.0,5611.0
4.5,4.7,0.9,0.94,0.0,0.0,0.6380432665798778,1.0414221020999452,1,4.756681740995332,1.4913616938342726,57106.0,31.0
3.0,4.0,0.6,0.8,0.0,0.0,-1.5280488806585315,-0.34056065602479385,1,3.909876817990392,5.071473283787442,8126.0,117889.0
4.0,4.3,0.8,0.86,0.0,0.0,-0.08398744916625872,0.2517176688858081,1,5.4724214600998655,3.3743816980508816,296771.0,2368.0
4.0,4.6,0.8,0.92,10746.06,64662.05,-0.08398744916625872,0.84399599379641,1,4.033222646670248,3.2538224387080734,10795.0,1794.0
4.5,4.4,0.9,0.8800000000000001,0.0,0.0,0.6380432665798778,0.4491437771893432,1,5.271023340666732,2.342422680822206,186648.0,220.0
5.0,4.7,1.0,0.94,0.0,0.0,1.3600739823260142,1.0414221020999452,1,5.763547782415414,4.898033708368627,580160.0,79074.0
4.0,4.2,0.8,0.8400000000000001,0.0,0.0,-0.08398744916625872,0.054291560582274696,1,4.714254296619151,2.4742162640762557,51791.0,298.0
4.5,4.3,0.9,0.86,0.0,0.0,0.6380432665798778,0.2517176688858081,1,4.832955750604596,3.958802703399502,68070.0,9095.0
